counts  d_counts        d_time  cpm     uSv/h
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.000           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.000           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000000      0000000000         5.001           0.000           0.000
0000000001      0000000001         5.001          11.998           0.080
0000000002      0000000001         5.000          12.000           0.080
0000000002      0000000000         5.001           0.000           0.000
0000000003      0000000001         5.001          11.998           0.080
0000000006      0000000003         5.001          35.993           0.241
0000000007      0000000001         5.001          11.998           0.080
0000000008      0000000001         5.000          12.000           0.080
0000000008      0000000000         5.001           0.000           0.000
0000000009      0000000001         5.001          11.998           0.080
0000000013      0000000004         5.001          47.990           0.322
0000000014      0000000001         5.001          11.998           0.080
0000000015      0000000001         5.000          12.000           0.080
0000000015      0000000000         5.001           0.000           0.000
0000000016      0000000001         5.001          11.998           0.080
0000000017      0000000001         5.001          11.998           0.080
0000000018      0000000001         5.002          11.995           0.080
0000000020      0000000002         5.001          23.995           0.161
0000000023      0000000003         5.001          35.993           0.241
0000000023      0000000000         5.001           0.000           0.000
0000000025      0000000002         5.001          23.995           0.161
0000000026      0000000001         5.000          12.000           0.080
0000000026      0000000000         5.001           0.000           0.000
0000000028      0000000002         5.001          23.995           0.161
0000000031      0000000003         5.001          35.993           0.241
0000000031      0000000000         5.001           0.000           0.000
0000000038      0000000007         5.000          84.000           0.563
0000000042      0000000004         5.001          47.990           0.322
0000000051      0000000009         5.001         107.978           0.723
0000000053      0000000002         5.001          23.995           0.161
0000000057      0000000004         5.001          47.990           0.322
0000000059      0000000002         5.000          24.000           0.161
0000000064      0000000005         5.001          59.988           0.402
0000000068      0000000004         5.001          47.990           0.322
0000000074      0000000006         5.001          71.986           0.482
0000000078      0000000004         5.001          47.990           0.322
0000000084      0000000006         5.000          72.000           0.482
0000000088      0000000004         5.001          47.990           0.322
0000000093      0000000005         5.001          59.988           0.402
0000000098      0000000005         5.001          59.988           0.402
0000000101      0000000003         5.002          35.986           0.241
0000000107      0000000006         5.001          71.986           0.482
0000000109      0000000002         5.001          23.995           0.161
0000000114      0000000005         5.001          59.988           0.402
0000000120      0000000006         5.001          71.986           0.482
0000000125      0000000005         5.000          60.000           0.402
0000000131      0000000006         5.001          71.986           0.482
0000000134      0000000003         5.001          35.993           0.241
0000000137      0000000003         5.001          35.993           0.241
0000000141      0000000004         5.001          47.990           0.322
0000000143      0000000002         5.000          24.000           0.161
0000000149      0000000006         5.001          71.986           0.482
0000000157      0000000008         5.001          95.981           0.643
0000000163      0000000006         5.001          71.986           0.482
0000000167      0000000004         5.001          47.990           0.322
0000000176      0000000009         5.000         108.000           0.724
0000000178      0000000002         5.001          23.995           0.161
0000000180      0000000002         5.001          23.995           0.161
0000000182      0000000002         5.001          23.995           0.161
0000000186      0000000004         5.001          47.990           0.322
0000000189      0000000003         5.000          36.000           0.241
0000000193      0000000004         5.001          47.990           0.322
0000000197      0000000004         5.005          47.952           0.321
0000000205      0000000008         5.001          95.981           0.643
0000000206      0000000001         5.000          12.000           0.080
0000000214      0000000008         5.001          95.981           0.643
0000000217      0000000003         5.001          35.993           0.241
0000000222      0000000005         5.001          59.988           0.402
0000000229      0000000007         5.001          83.983           0.563
0000000234      0000000005         5.000          60.000           0.402
0000000236      0000000002         5.001          23.995           0.161
0000000239      0000000003         5.001          35.993           0.241
0000000247      0000000008         5.001          95.981           0.643
0000000252      0000000005         5.001          59.988           0.402
0000000260      0000000008         5.000          96.000           0.643
0000000264      0000000004         5.001          47.990           0.322
0000000264      0000000000         5.001           0.000           0.000
0000000265      0000000001         5.001          11.998           0.080
0000000267      0000000002         5.001          23.995           0.161
0000000269      0000000002         5.000          24.000           0.161
0000000273      0000000004         5.001          47.990           0.322
0000000279      0000000006         5.001          71.986           0.482
0000000287      0000000008         5.001          95.981           0.643
0000000292      0000000005         5.002          59.976           0.402
0000000298      0000000006         5.001          71.986           0.482
0000000302      0000000004         5.001          47.990           0.322
0000000310      0000000008         5.020          95.618           0.641
0000000315      0000000005         5.001          59.988           0.402
0000000323      0000000008         5.001          95.981           0.643
0000000327      0000000004         5.001          47.990           0.322
0000000330      0000000003         5.001          35.993           0.241
0000000336      0000000006         5.000          72.000           0.482
0000000337      0000000001         5.001          11.998           0.080
0000000342      0000000005         5.001          59.988           0.402
0000000348      0000000006         5.001          71.986           0.482
0000000353      0000000005         5.001          59.988           0.402
0000000358      0000000005         5.000          60.000           0.402
0000000365      0000000007         5.001          83.983           0.563
0000000376      0000000011         5.001         131.974           0.884
0000000380      0000000004         5.001          47.990           0.322
0000000383      0000000003         5.002          35.986           0.241
0000000388      0000000005         5.001          59.988           0.402
0000000391      0000000003         5.001          35.993           0.241
