system_time     d_time  counts  d_c     CPM     DRE
0.006           0.006           0       0          0.000           0.000
12.007          12.001          8       8         39.997           0.268
24.008          12.001          10      2          9.999           0.067
36.009          12.001          15      5         24.998           0.167
48.011          12.002          19      4         19.997           0.134
60.012          12.001          25      6         29.997           0.201
72.013          12.001          28      3         14.999           0.100
84.015          12.002          29      1          4.999           0.033
96.016          12.001          31      2          9.999           0.067
108.017         12.001          38      7         34.997           0.234
120.018         12.001          39      1          5.000           0.033
132.020         12.002          44      5         24.996           0.167
144.021         12.001          47      3         14.999           0.100
156.022         12.001          50      3         14.999           0.100
168.024         12.002          53      3         14.998           0.100
180.025         12.001          53      0          0.000           0.000
192.026         12.001          56      3         14.999           0.100
204.027         12.001          60      4         19.998           0.134
216.029         12.002          62      2          9.998           0.067
228.030         12.001          62      0          0.000           0.000
240.031         12.001          68      6         29.997           0.201
252.033         12.002          71      3         14.998           0.100
264.034         12.001          77      6         29.997           0.201
276.035         12.001          81      4         19.998           0.134
288.036         12.001          84      3         14.999           0.100
300.038         12.002          87      3         14.998           0.100
312.039         12.001          89      2          9.999           0.067
324.040         12.001          92      3         14.999           0.100
336.041         12.001          93      1          5.000           0.033
348.043         12.002          95      2          9.998           0.067
360.044         12.001          100     5         24.998           0.167
372.045         12.001          102     2          9.999           0.067
384.047         12.002          104     2          9.998           0.067
396.048         12.001          105     1          5.000           0.033
408.049         12.001          108     3         14.999           0.100
420.050         12.001          111     3         14.999           0.100
432.052         12.002          112     1          4.999           0.033
444.053         12.001          112     0          0.000           0.000
456.054         12.001          114     2          9.999           0.067
468.056         12.002          118     4         19.997           0.134
480.057         12.001          120     2          9.999           0.067
492.058         12.001          121     1          5.000           0.033
504.059         12.001          122     1          5.000           0.033
516.061         12.002          125     3         14.998           0.100
528.062         12.001          128     3         14.999           0.100
540.063         12.001          132     4         19.998           0.134
552.065         12.002          134     2          9.998           0.067
564.066         12.001          136     2          9.999           0.067
576.067         12.001          142     6         29.997           0.201
588.068         12.001          142     0          0.000           0.000
600.070         12.002          144     2          9.998           0.067
612.071         12.001          147     3         14.999           0.100
624.072         12.001          149     2          9.999           0.067
636.073         12.001          154     5         24.998           0.167
648.075         12.002          155     1          4.999           0.033
660.076         12.001          157     2          9.999           0.067
672.077         12.001          159     2          9.999           0.067
684.079         12.002          165     6         29.995           0.201
696.080         12.001          167     2          9.999           0.067
708.081         12.001          171     4         19.998           0.134
720.082         12.001          174     3         14.999           0.100
732.084         12.002          178     4         19.997           0.134
744.085         12.001          180     2          9.999           0.067
756.086         12.001          184     4         19.998           0.134
768.088         12.002          189     5         24.996           0.167
780.089         12.001          193     4         19.998           0.134
792.090         12.001          194     1          5.000           0.033
804.091         12.001          200     6         29.997           0.201
816.093         12.002          203     3         14.998           0.100
828.094         12.001          207     4         19.998           0.134
840.095         12.001          208     1          5.000           0.033
852.097         12.002          213     5         24.996           0.167
864.098         12.001          215     2          9.999           0.067
876.099         12.001          218     3         14.999           0.100
888.100         12.001          220     2          9.999           0.067
900.102         12.002          222     2          9.998           0.067
912.103         12.001          226     4         19.998           0.134
924.104         12.001          228     2          9.999           0.067
936.105         12.001          234     6         29.997           0.201
948.107         12.002          240     6         29.995           0.201
960.108         12.001          242     2          9.999           0.067
972.109         12.001          249     7         34.997           0.234
984.111         12.002          254     5         24.996           0.167
996.112         12.001          259     5         24.998           0.167
1008.113        12.001          262     3         14.999           0.100
1020.114        12.001          263     1          5.000           0.033
1032.116        12.002          265     2          9.998           0.067
1044.117        12.001          270     5         24.998           0.167
1056.118        12.001          272     2          9.999           0.067
1068.120        12.002          275     3         14.998           0.100
1080.121        12.001          276     1          5.000           0.033
1092.122        12.001          276     0          0.000           0.000
1104.123        12.001          278     2          9.999           0.067
1116.125        12.002          281     3         14.998           0.100
1128.126        12.001          282     1          5.000           0.033
1140.127        12.001          286     4         19.998           0.134
1152.129        12.002          286     0          0.000           0.000
1164.130        12.001          288     2          9.999           0.067
1176.131        12.001          293     5         24.998           0.167
1188.132        12.001          295     2          9.999           0.067
1200.134        12.002          298     3         14.998           0.100
1212.135        12.001          301     3         14.999           0.100
1224.136        12.001          303     2          9.999           0.067
1236.137        12.001          309     6         29.997           0.201
1248.139        12.002          314     5         24.996           0.167
1260.140        12.001          315     1          5.000           0.033
1272.141        12.001          317     2          9.999           0.067
1284.143        12.002          323     6         29.995           0.201
1296.144        12.001          327     4         19.998           0.134
